 left_edges,centers,count,norm_count
 0.0000000, 0.0250000,       191, 0.0038238
 0.0500000, 0.0750000,      1260, 0.0252252
 0.1000000, 0.1250000,      3442, 0.0689089
 0.1500000, 0.1750000,      6552, 0.1311712
 0.2000000, 0.2250000,     10386, 0.2079279
 0.2500000, 0.2750000,     14973, 0.2997598
 0.3000000, 0.3250000,     19647, 0.3933333
 0.3500000, 0.3750000,     24686, 0.4942142
 0.4000000, 0.4250000,     29302, 0.5866266
 0.4500000, 0.4750000,     34087, 0.6824224
 0.5000000, 0.5250000,     38026, 0.7612813
 0.5500000, 0.5750000,     41561, 0.8320521
 0.6000000, 0.6250000,     44304, 0.8869670
 0.6500000, 0.6750000,     46634, 0.9336136
 0.7000000, 0.7250000,     47213, 0.9452052
 0.7500000, 0.7750000,     47492, 0.9507908
 0.8000000, 0.8250000,     47245, 0.9458458
 0.8500000, 0.8750000,     46317, 0.9272673
 0.9000000, 0.9250000,     44836, 0.8976176
 0.9500000, 0.9750000,     42252, 0.8458859
 1.0000000, 1.0250000,     40362, 0.8080480
 1.0500000, 1.0750000,     37470, 0.7501502
 1.1000000, 1.1250000,     34307, 0.6868268
 1.1500000, 1.1750000,     31647, 0.6335736
 1.2000000, 1.2250000,     28955, 0.5796797
 1.2500000, 1.2750000,     25845, 0.5174174
 1.3000000, 1.3250000,     23226, 0.4649850
 1.3500000, 1.3750000,     20680, 0.4140140
 1.4000000, 1.4250000,     18356, 0.3674875
 1.4500000, 1.4750000,     16186, 0.3240440
 1.5000000, 1.5250000,     14069, 0.2816617
 1.5500000, 1.5750000,     12473, 0.2497097
 1.6000000, 1.6250000,     10716, 0.2145345
 1.6500000, 1.6750000,      9519, 0.1905706
 1.7000000, 1.7250000,      8386, 0.1678879
 1.7500000, 1.7750000,      7457, 0.1492893
 1.8000000, 1.8250000,      6479, 0.1297097
 1.8500000, 1.8750000,      5691, 0.1139339
 1.9000000, 1.9250000,      5022, 0.1005405
 1.9500000, 1.9750000,      4478, 0.0896496
 2.0000000, 2.0250000,      3716, 0.0743944
 2.0500000, 2.0750000,      3510, 0.0702703
 2.1000000, 2.1250000,      3089, 0.0618418
 2.1500000, 2.1750000,      2898, 0.0580180
 2.2000000, 2.2250000,      2565, 0.0513514
 2.2500000, 2.2750000,      2203, 0.0441041
 2.3000000, 2.3250000,      1999, 0.0400200
 2.3500000, 2.3750000,      1810, 0.0362362
 2.4000000, 2.4250000,      1683, 0.0336937
 2.4500000, 2.4750000,      1522, 0.0304705
 2.5000000, 2.5250000,      1376, 0.0275475
 2.5500000, 2.5750000,      1287, 0.0257658
 2.6000000, 2.6250000,      1222, 0.0244645
 2.6500000, 2.6750000,      1156, 0.0231431
 2.7000000, 2.7250000,       999, 0.0200000
 2.7500000, 2.7750000,       898, 0.0179780
 2.8000000, 2.8250000,       900, 0.0180180
 2.8500000, 2.8750000,       803, 0.0160761
 2.9000000, 2.9250000,       767, 0.0153554
 2.9500000, 2.9750000,       723, 0.0144745
 3.0000000, 3.0250000,       690, 0.0138138
 3.0500000, 3.0750000,       622, 0.0124525
 3.1000000, 3.1250000,       614, 0.0122923
 3.1500000, 3.1750000,       486, 0.0097297
 3.2000000, 3.2250000,       459, 0.0091892
 3.2500000, 3.2750000,       494, 0.0098899
 3.3000000, 3.3250000,       420, 0.0084084
 3.3500000, 3.3750000,       434, 0.0086887
 3.4000000, 3.4250000,       365, 0.0073073
 3.4500000, 3.4750000,       362, 0.0072472
 3.5000000, 3.5250000,       366, 0.0073273
 3.5500000, 3.5750000,       339, 0.0067868
 3.6000000, 3.6250000,       324, 0.0064865
 3.6500000, 3.6750000,       287, 0.0057457
 3.7000000, 3.7250000,       261, 0.0052252
 3.7500000, 3.7750000,       262, 0.0052452
 3.8000000, 3.8250000,       239, 0.0047848
 3.8500000, 3.8750000,       204, 0.0040841
 3.9000000, 3.9250000,       231, 0.0046246
 3.9500000, 3.9750000,       210, 0.0042042
 4.0000000, 4.0250000,       202, 0.0040440
 4.0500000, 4.0750000,       203, 0.0040641
 4.1000000, 4.1250000,       163, 0.0032633
 4.1500000, 4.1750000,       154, 0.0030831
 4.2000000, 4.2250000,       159, 0.0031832
 4.2500000, 4.2750000,       141, 0.0028228
 4.3000000, 4.3250000,       131, 0.0026226
 4.3500000, 4.3750000,       132, 0.0026426
 4.4000000, 4.4250000,       153, 0.0030631
 4.4500000, 4.4750000,       122, 0.0024424
 4.5000000, 4.5250000,       109, 0.0021822
 4.5500000, 4.5750000,       124, 0.0024825
 4.6000000, 4.6250000,       127, 0.0025425
 4.6500000, 4.6750000,        98, 0.0019620
 4.7000000, 4.7250000,       114, 0.0022823
 4.7500000, 4.7750000,        91, 0.0018218
 4.8000000, 4.8250000,        94, 0.0018819
 4.8500000, 4.8750000,        88, 0.0017618
 4.9000000, 4.9250000,        87, 0.0017417
 4.9500000, 4.9750000,        81, 0.0016216
